Intent,SubIntent1,SubIntent2,Văn bản dưới luật hướng dẫn thực hiện
NHỮNG QUY ĐỊNH CHUNG,,,
,,Điều 1. Phạm vi điều chỉnh,
,,Điều 2. Đối tượng áp dụng,
,,Điều 3. Giải thích từ ngữ,
,,Điều 4. Quyền có chỗ ở và quyền sở hữu nhà ở,
,,Điều 5. Bảo hộ quyền sở hữu nhà ở,
,,Điều 6. Các hành vi bị nghiêm cấm,
SỞ HỮU NHÀ Ở,,,
,,Điều 7. Đối tượng được sở hữu nhà ở tại Việt Nam,
,,Điều 8. Điều kiện được công nhận quyền sở hữu nhà ở,
,,Điều 9. Công nhận quyền sở hữu nhà ở,
,,Điều 10. Quyền của chủ sở hữu nhà ở và người sử dụng nhà ở,
,,Điều 11. Nghĩa vụ của chủ sở hữu nhà ở và người sử dụng nhà ở,
,,Điều 12. Thời điểm chuyển quyền sở hữu nhà ở,
PHÁT TRIỂN NHÀ Ở,,,
,QUY ĐỊNH CHUNG VỀ PHÁT TRIỂN NHÀ Ở,,
,,Điều 13. Chính sách phát triển nhà ở,
,,Điều 14. Yêu cầu đối với phát triển nhà ở,
,,"Điều 15. Chương trình, kế hoạch phát triển nhà ở của địa phương",
,,Điều 16. Xác định quỹ đất cho phát triển nhà ở,
,,Điều 17. Hình thức phát triển nhà ở và dự án đầu tư xây dựng nhà ở,
,,Điều 18. Các trường hợp phát triển nhà ở và trường hợp xây dựng nhà ở theo dự án,
,,Điều 19. Yêu cầu đối với dự án đầu tư xây dựng nhà ở,
,,Điều 20. Nguyên tắc kiến trúc nhà ở,
,PHÁT TRIỂN NHÀ Ở THƯƠNG MẠI THEO DỰ ÁN,,
,,Điều 21. Điều kiện làm chủ đầu tư dự án xây dựng nhà ở thương mại,
,,Điều 22. Dự án đầu tư xây dựng nhà ở thương mại và lựa chọn chủ đầu tư dự án,
,,Điều 23. Hình thức sử dụng đất để thực hiện dự án đầu tư xây dựng nhà ở thương mại,
,,Điều 24. Loại nhà và tiêu chuẩn diện tích nhà ở thương mại,
,,Điều 25. Quyền của chủ đầu tư dự án xây dựng nhà ở thương mại,
,,Điều 26. Trách nhiệm của chủ đầu tư dự án xây dựng nhà ở thương mại,
,PHÁT TRIỂN NHÀ Ở CÔNG VỤ,,
,,Điều 27. Nhà ở công vụ và kế hoạch phát triển nhà ở công vụ,
,,Điều 28. Dự án đầu tư xây dựng nhà ở công vụ và lựa chọn chủ đầu tư dự án,
,,Điều 29. Đất để xây dựng nhà ở công vụ,
,,"Điều 30. Mua, thuê nhà ở thương mại để làm nhà ở công vụ",
,,Điều 31. Loại nhà và tiêu chuẩn diện tích nhà ở công vụ,
,,Điều 32. Đối tượng và điều kiện được thuê nhà ở công vụ,
